0.007793 0.007793 0.000000
0.012111 0.009952 0.003053
0.007713 0.009206 0.002516
0.007720 0.008834 0.002185
0.010580 0.009183 0.002047
0.006892 0.008801 0.002056
0.007658 0.008638 0.001926
0.021541 0.010251 0.004898
0.006646 0.009850 0.004737
0.006649 0.009530 0.004579
0.007001 0.009300 0.004411
0.006629 0.009078 0.004275
0.022691 0.010125 0.005569
0.006482 0.009865 0.005438
0.006838 0.009663 0.005298
0.007332 0.009517 0.005152
0.007372 0.009391 0.005015
0.006467 0.009229 0.004914
0.007457 0.009135 0.004793
0.006506 0.009004 0.004702
# Probing: 8.8.8.8 on port 53
# Started: Wed, 22 Jul 2015 16:26:39 +0200
# RTT  mu sigma (units in S)
0.006968 0.000000 0.000000
0.007741 0.007741 0.000000
0.010410 0.009076 0.001887
0.007241 0.008464 0.001704
0.006460 0.007963 0.001715
0.007150 0.007801 0.001529
0.010674 0.008280 0.001802
0.006617 0.008042 0.001761
0.006874 0.007896 0.001681
0.007532 0.007856 0.001578
0.006529 0.007723 0.001545
0.040176 0.010673 0.009894
0.007170 0.010381 0.009488
0.006634 0.010093 0.009143
0.007105 0.009880 0.008821
0.006902 0.009681 0.008535
0.006268 0.009468 0.008289
0.007247 0.009337 0.008044
0.006843 0.009199 0.007826
0.007542 0.009112 0.007615
0.007043 0.009008 0.007426
0.007207 0.008922 0.007249
0.006725 0.008822 0.007090
0.007246 0.008754 0.006935
0.025455 0.009450 0.007591
0.011946 0.009550 0.007448
0.006728 0.009441 0.007318
0.006563 0.009335 0.007197
0.007007 0.009251 0.007077
0.007522 0.009192 0.006956
0.006391 0.009098 0.006855
0.006703 0.009021 0.006753
0.010147 0.009056 0.006646
0.006508 0.008979 0.006557
0.008520 0.008966 0.006457
0.006604 0.008898 0.006374
0.007099 0.008848 0.006289
0.007183 0.008803 0.006207
0.062674 0.010221 0.010671
0.006785 0.010133 0.010544
0.007262 0.010061 0.010417
0.007390 0.009996 0.010295
0.006266 0.009907 0.010185
0.007565 0.009853 0.010069
0.007859 0.009807 0.009956
0.006778 0.009740 0.009852
0.026690 0.010108 0.010058
0.006794 0.010038 0.009960
0.006620 0.009967 0.009865
0.007763 0.009922 0.009767
0.006820 0.009860 0.009677
0.006866 0.009801 0.009589
0.023273 0.010060 0.009676
0.007387 0.010010 0.009590
0.006900 0.009952 0.009509
0.008651 0.009928 0.009422
0.010079 0.009931 0.009336
0.039580 0.010451 0.010051
0.006095 0.010376 0.009979
0.007297 0.010324 0.009900
0.006600 0.010262 0.009828
Goodbye!
